Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Type,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,84669,1,Adopted,84669
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,23395,1,Adopted,23395
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,29501,1,Adopted,29501
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,40362,1,Adopted,40362
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-8882,1,Adopted,-8882
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,3000,1,Adopted,3000
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52911,Bottled Water and Food for Human Consumption,15000,1,Adopted,15000
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53116,Telephone,26020,1,Adopted,26020
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53313,Official Hospitality,9000,1,Adopted,9000
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53611,Postage and Mailing,1400,1,Adopted,1400
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54011,Contract Contingencies (Budgetary Only),30000,1,Adopted,30000
