Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Program Code,Program Description,Account Type,Account Code,Account Category,Account Description,Amount,Amount as number,Budget Type,Budget Name
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,56124,Internal Services & Work Orders,City Contract Compliance Dept-Purchasing Services,85,85,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55113,Operation & Maintenance,Meals,561,561,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-102002,-102002,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",6500,6500,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55114,Operation & Maintenance,Per Diem and Lodging,17441,17441,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,56312,Internal Services & Work Orders,Duplicating,22000,22000,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55212,Operation & Maintenance,Registration and Tuition,600,600,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,53611,Services & Supplies,Postage and Mailing,3200,3200,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,53313,Services & Supplies,Official Hospitality,1710,1710,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,56123,Internal Services & Work Orders,City Accounting Services,769,769,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,56113,Internal Services & Work Orders,Facilities: General Support,202051,202051,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,53116,Services & Supplies,Telephone,22000,22000,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55112,Operation & Maintenance,Commercial Transportation,4179,4179,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,53719,Services & Supplies,Miscellaneous Services,1400,1400,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,53311,Services & Supplies,City Promotion,570,570,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,203876,203876,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,700,700,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,52911,Services & Supplies,Bottled Water and Food for Human Consumption,2100,2100,3,Proposed
