Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Description,Program Description,Account Type,Account Code,Account Category,Account Description,Amount,Project Code,Program Code,Budget Type,Budget Name,Amount as number
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41111,Property Tax,Property Tax: Current Secured,81603137,0000000,IP59,2,Adjusted,81603137
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41112,Property Tax,Property Tax: Current Unsecured,6329775,0000000,IP59,2,Adjusted,6329775
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41113,Property Tax,Property Tax: Current Unitary,2181678,0000000,IP59,2,Adjusted,2181678
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41114,Property Tax,Property Tax: Current Homeowner's Relief Subvention,1042278,0000000,IP59,2,Adjusted,1042278
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41115,Property Tax,Property Tax: Prior Secured,2325302,0000000,IP59,2,Adjusted,2325302
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41118,Property Tax,Property Tax: Secured Supplemental Assessment,1091591,0000000,IP59,2,Adjusted,1091591
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41120,Property Tax,Property Tax: Aircraft In-Lieu,2282727,0000000,IP59,2,Adjusted,2282727
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41122,Property Tax,Property Tax: County Interest Apportionment,50954,0000000,IP59,2,Adjusted,50954
FY14-15,Non-Departmental,Non-Departmental,90411,Debt Service,1200,Pension Override Tax Revenue,UNDETERMINED PROJECT,DEBT/LEASE PAYMENTS,Revenue,41122,Property Tax,Property Tax: County Interest Apportionment,188312,0000000,IN09,2,Adjusted,188312
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41124,Property Tax,Property Tax: Miscellaneous,41714,0000000,IP59,2,Adjusted,41714
