Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Code,Account Description,Account Category,Amount,Budget Type,Budget Name,Amount as number
FY15-16,Revenue,Non-Departmental,Non-Departmental,90411,Debt Service,6064,"GO Refunding Bonds, Series 2015A",0,UNDETERMINED PROJECT,IN09,DEBT/LEASE PAYMENTS,41211,Voter-Approved: Current Secured,Local Tax,5632522,1,Adopted,5632522
FY15-16,Expense,Non-Departmental,Non-Departmental,90411,Debt Service,6064,"GO Refunding Bonds, Series 2015A",0,UNDETERMINED PROJECT,IN09,DEBT/LEASE PAYMENTS,58111,Bank and Bond Expenditures,Debt Payments,5000,1,Adopted,5000
FY15-16,Expense,Non-Departmental,Non-Departmental,90411,Debt Service,6064,"GO Refunding Bonds, Series 2015A",0,UNDETERMINED PROJECT,IN09,DEBT/LEASE PAYMENTS,58213,Bond Principal,Debt Payments,1865000,1,Adopted,1865000
FY15-16,Expense,Non-Departmental,Non-Departmental,90411,Debt Service,6064,"GO Refunding Bonds, Series 2015A",0,UNDETERMINED PROJECT,IN09,DEBT/LEASE PAYMENTS,58215,Interest on Long-Term Debt,Debt Payments,3762522,1,Adopted,3762522
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51111,Civilian: Regular,Civilian Salaries,111890,1,Adopted,111890
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51511,Civilian: Paid Leave Charge,Civilian Salaries,33233,1,Adopted,33233
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51611,Civilian: Retirement Accrual,Civilian Retirement,47803,1,Adopted,47803
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,56468,1,Adopted,56468
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52211,Stationery and Office Supplies,Services & Supplies,3000,1,Adopted,3000
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52911,Bottled Water and Food for Human Consumption,Services & Supplies,15000,1,Adopted,15000
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53116,Telephone,Services & Supplies,26020,1,Adopted,26020
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53313,Official Hospitality,Services & Supplies,9000,1,Adopted,9000
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53611,Postage and Mailing,Services & Supplies,1400,1,Adopted,1400
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,54011,Contract Contingencies (Budgetary Only),Contract Services,90732,1,Adopted,90732
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,54611,Repair and Maintenance: Machinery and Equipment,Contract Services,500,1,Adopted,500
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,54711,Printing and Duplicating Services,Contract Services,600,1,Adopted,600
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,54811,Temporary Personnel Services,Contract Services,2000,1,Adopted,2000
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55211,Periodical Subscriptions,Travel & Education,250,1,Adopted,250
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,56111,Special Setups,Internal Services & Work Orders,10235,1,Adopted,10235
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,56113,Facilities: General Support,Internal Services & Work Orders,286449,1,Adopted,286449
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,56123,City Accounting Services,Internal Services & Work Orders,3110,1,Adopted,3110
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,56124,City Contract Compliance Dept-Purchasing Services,Internal Services & Work Orders,1700,1,Adopted,1700
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,56312,Duplicating,Internal Services & Work Orders,7170,1,Adopted,7170
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51111,Civilian: Regular,Civilian Salaries,221111,1,Adopted,221111
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,6600,1,Adopted,6600
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51511,Civilian: Paid Leave Charge,Civilian Salaries,41452,1,Adopted,41452
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51611,Civilian: Retirement Accrual,Civilian Retirement,86488,1,Adopted,86488
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,100818,1,Adopted,100818
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52211,Stationery and Office Supplies,Services & Supplies,220,1,Adopted,220
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53116,Telephone,Services & Supplies,1290,1,Adopted,1290
