Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Program Code,Program Description,Account Code,Account Description,Account Category,Amount as number,Budget Type,Budget Name,Amount
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92214,Engineer Design: ADA Programs,1010,General Fund: General Purpose,YS10,AMERICANS WITH DISABILITIES ACT PROGRAMS,54919,Services: Miscellaneous Contract,Contract Services,252000,2,Adjusted,252000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92270,Engineer Design: Project Management,1010,General Fund: General Purpose,IN05,ENGINEERING PLANNING & DESIGN,53719,Miscellaneous Services,Services & Supplies,250000,2,Adjusted,250000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,94710,CIP Not PW: Community Development,2108,HUD-CDBG,0000,Undetermined Program,78811,Budget Only: Prior  Year Allocation Offset Project Total,Project Offsets & Carryforwards,-199369,2,Adjusted,-199369
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2211,Measure B: Local Streets & Roads,IN05,ENGINEERING PLANNING & DESIGN,57411,Street Construction,Capital Acquistions,325000,2,Adjusted,325000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2211,Measure B: Local Streets & Roads,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,75000,2,Adjusted,75000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2211,Measure B: Local Streets & Roads,IN05,ENGINEERING PLANNING & DESIGN,57411,Street Construction,Capital Acquistions,325000,2,Adjusted,325000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2211,Measure B: Local Streets & Roads,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,105000,2,Adjusted,105000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2211,Measure B: Local Streets & Roads,IN06,PROJECT DELIVERY,57411,Street Construction,Capital Acquistions,70000,2,Adjusted,70000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2211,Measure B: Local Streets & Roads,IN05,ENGINEERING PLANNING & DESIGN,57411,Street Construction,Capital Acquistions,3000000,2,Adjusted,3000000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2211,Measure B: Local Streets & Roads,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,87500,2,Adjusted,87500
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2211,Measure B: Local Streets & Roads,IN05,ENGINEERING PLANNING & DESIGN,57411,Street Construction,Capital Acquistions,112500,2,Adjusted,112500
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92246,Engineer Design: Traffic / Parking,2211,Measure B: Local Streets & Roads,NB33,TRANSPORTATION & PEDESTRIAN SAFETY,56611,Work Order Expenditures,Internal Services & Work Orders,650000,2,Adjusted,650000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2211,Measure B: Local Streets & Roads,IN05,ENGINEERING PLANNING & DESIGN,57411,Street Construction,Capital Acquistions,3171677,2,Adjusted,3171677
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92260,Engineer Design: IPPD Capital Improvement Projects,2212,Measure B: Bicycle/Pedestrian Pass-Thru Funds,IN17,TRANSPORTATION PLANNING AND FUNDING,57411,Street Construction,Capital Acquistions,400000,2,Adjusted,400000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92260,Engineer Design: IPPD Capital Improvement Projects,2212,Measure B: Bicycle/Pedestrian Pass-Thru Funds,IN17,TRANSPORTATION PLANNING AND FUNDING,57411,Street Construction,Capital Acquistions,398922,2,Adjusted,398922
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92246,Engineer Design: Traffic / Parking,2216,Measure BB - Alameda County Transportation Commission Sales Tax,NB33,TRANSPORTATION & PEDESTRIAN SAFETY,57412,Signal and Safety Devices,Capital Acquistions,1070936,2,Adjusted,1070936
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2216,Measure BB - Alameda County Transportation Commission Sales Tax,IN05,ENGINEERING PLANNING & DESIGN,57411,Street Construction,Capital Acquistions,781690,2,Adjusted,781690
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2216,Measure BB - Alameda County Transportation Commission Sales Tax,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,150000,2,Adjusted,150000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2216,Measure BB - Alameda County Transportation Commission Sales Tax,IN05,ENGINEERING PLANNING & DESIGN,57411,Street Construction,Capital Acquistions,450000,2,Adjusted,450000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2216,Measure BB - Alameda County Transportation Commission Sales Tax,IN05,ENGINEERING PLANNING & DESIGN,57411,Street Construction,Capital Acquistions,675000,2,Adjusted,675000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2216,Measure BB - Alameda County Transportation Commission Sales Tax,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,225000,2,Adjusted,225000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92260,Engineer Design: IPPD Capital Improvement Projects,2216,Measure BB - Alameda County Transportation Commission Sales Tax,IN17,TRANSPORTATION PLANNING AND FUNDING,57411,Street Construction,Capital Acquistions,257638,2,Adjusted,257638
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92260,Engineer Design: IPPD Capital Improvement Projects,2216,Measure BB - Alameda County Transportation Commission Sales Tax,IN17,TRANSPORTATION PLANNING AND FUNDING,56611,Work Order Expenditures,Internal Services & Work Orders,177456,2,Adjusted,177456
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92260,Engineer Design: IPPD Capital Improvement Projects,2216,Measure BB - Alameda County Transportation Commission Sales Tax,IN17,TRANSPORTATION PLANNING AND FUNDING,57411,Street Construction,Capital Acquistions,257639,2,Adjusted,257639
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92260,Engineer Design: IPPD Capital Improvement Projects,2216,Measure BB - Alameda County Transportation Commission Sales Tax,IN17,TRANSPORTATION PLANNING AND FUNDING,56611,Work Order Expenditures,Internal Services & Work Orders,177456,2,Adjusted,177456
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92228,Engineer Design: Electrical Projects,2230,State Gas Tax,IN07,ELECTRICAL & ENERGY EFFICIENCY,57412,Signal and Safety Devices,Capital Acquistions,150000,2,Adjusted,150000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92270,Engineer Design: Project Management,2310,Lighting and Landscape Assessment District,IN06,PROJECT DELIVERY,54011,Contract Contingencies (Budgetary Only),Contract Services,15000,2,Adjusted,15000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92242,Engineer Design: Streets and Structures,2415,Development Service Fund,IN05,ENGINEERING PLANNING & DESIGN,57411,Street Construction,Capital Acquistions,200000,2,Adjusted,200000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,375000,2,Adjusted,375000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92232,Engineer Design: Construction Services,3100,Sewer Service Fund,IN06,PROJECT DELIVERY,56611,Work Order Expenditures,Internal Services & Work Orders,250000,2,Adjusted,250000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,57417,Sewers,Capital Acquistions,1875000,2,Adjusted,1875000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,54411,Architectural and Engineering Services,Contract Services,3500000,2,Adjusted,3500000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92232,Engineer Design: Construction Services,3100,Sewer Service Fund,IN06,PROJECT DELIVERY,56611,Work Order Expenditures,Internal Services & Work Orders,362000,2,Adjusted,362000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,72400,2,Adjusted,72400
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,57417,Sewers,Capital Acquistions,3185600,2,Adjusted,3185600
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,56200,2,Adjusted,56200
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92232,Engineer Design: Construction Services,3100,Sewer Service Fund,IN06,PROJECT DELIVERY,56611,Work Order Expenditures,Internal Services & Work Orders,281000,2,Adjusted,281000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,57417,Sewers,Capital Acquistions,2472800,2,Adjusted,2472800
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92232,Engineer Design: Construction Services,3100,Sewer Service Fund,IN06,PROJECT DELIVERY,56611,Work Order Expenditures,Internal Services & Work Orders,132600,2,Adjusted,132600
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,23400,2,Adjusted,23400
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,57417,Sewers,Capital Acquistions,1170000,2,Adjusted,1170000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,150000,2,Adjusted,150000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,57417,Sewers,Capital Acquistions,700000,2,Adjusted,700000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92232,Engineer Design: Construction Services,3100,Sewer Service Fund,IN06,PROJECT DELIVERY,56611,Work Order Expenditures,Internal Services & Work Orders,150000,2,Adjusted,150000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92232,Engineer Design: Construction Services,3100,Sewer Service Fund,IN06,PROJECT DELIVERY,56611,Work Order Expenditures,Internal Services & Work Orders,100000,2,Adjusted,100000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,57417,Sewers,Capital Acquistions,750000,2,Adjusted,750000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,150000,2,Adjusted,150000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,131250,2,Adjusted,131250
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92232,Engineer Design: Construction Services,3100,Sewer Service Fund,IN06,PROJECT DELIVERY,56611,Work Order Expenditures,Internal Services & Work Orders,87500,2,Adjusted,87500
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,57417,Sewers,Capital Acquistions,656250,2,Adjusted,656250
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,57417,Sewers,Capital Acquistions,700000,2,Adjusted,700000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,150000,2,Adjusted,150000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92232,Engineer Design: Construction Services,3100,Sewer Service Fund,IN06,PROJECT DELIVERY,56611,Work Order Expenditures,Internal Services & Work Orders,150000,2,Adjusted,150000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,333000,2,Adjusted,333000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,426000,2,Adjusted,426000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92232,Engineer Design: Construction Services,3100,Sewer Service Fund,IN06,PROJECT DELIVERY,56611,Work Order Expenditures,Internal Services & Work Orders,124100,2,Adjusted,124100
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,21900,2,Adjusted,21900
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,57417,Sewers,Capital Acquistions,1095000,2,Adjusted,1095000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92232,Engineer Design: Construction Services,3100,Sewer Service Fund,IN06,PROJECT DELIVERY,56611,Work Order Expenditures,Internal Services & Work Orders,187000,2,Adjusted,187000
